origin_200 mse:52.36997340616824 ,acc=1.0
OOitr_30_100_3 : mse=1.466352498455088 ,acc=0.96875
	30 is chosen from 100 trees
OOitr_40_100_3 : mse=2.618416270307743 ,acc=0.9875
	40 is chosen from 100 trees
OOitr_50_100_3 : mse=4.3168414269446185 ,acc=1.0
	50 is chosen from 100 trees
OOitr_30_60_15 : mse=3.434026609876972 ,acc=0.99375
	30 is chosen from 60 trees
OOitr_40_60_15 : mse=5.535336928050184 ,acc=0.9875
	40 is chosen from 60 trees
OOitr_50_60_15 : mse=8.64369597554004 ,acc=0.9875
	50 is chosen from 60 trees
OOitr_30_80_20 : mse=3.8386251746496827 ,acc=0.9875
	30 is chosen from 80 trees
OOitr_40_80_20 : mse=5.114865258210438 ,acc=0.99375
	40 is chosen from 80 trees
OOitr_50_80_20 : mse=7.312268075952042 ,acc=0.99375
	50 is chosen from 80 trees

origin   		oo_15    		oo_20    		oo_25    		oo_15    		oo_20    		oo_25    		oo_15    		oo_20    		oo_25    		label
-2.76369 		-0.288888		-0.815488		-1.1333  		-0.923184		-1.20142 		-1.32746 		-1.2018  		-1.37932 		-1.89276 		0.0      
-6.66468 		-0.36057 		-0.83389 		-1.35566 		-1.09092 		-1.68474 		-2.05448 		-1.11431 		-1.35472 		-1.93548 		0.0      
-6.66468 		-0.36057 		-0.83389 		-1.35566 		-1.09092 		-1.68474 		-2.05448 		-1.11431 		-1.35472 		-1.93548 		0.0      
-4.63657 		0.488152 		0.228201 		-0.0706127		-0.513002		-1.00594 		-1.4434  		-0.793397		-0.548659		-0.900028		0.0      
-6.62242 		-0.36057 		-0.83389 		-1.35566 		-1.09092 		-1.68474 		-2.05448 		-1.11431 		-1.35472 		-1.93548 		0.0      
-6.33387 		-0.367912		-0.831083		-1.14374 		-0.927057		-1.50986 		-1.89951 		-1.54434 		-1.55184 		-2.06305 		0.0      
-7.01328 		-0.185414		-0.589199		-0.965629		-0.936818		-1.51962 		-1.96526 		-1.38642 		-1.43104 		-1.94225 		0.0      
-4.51075 		-0.684799		-0.993486		-1.20625 		-1.15041 		-1.27507 		-1.44551 		-1.05099 		-1.62668 		-1.74512 		0.0      
-3.54141 		-0.135991		-0.328779		-0.337383		-0.832831		-0.814032		-1.10534 		-0.877684		-1.21128 		-1.25953 		0.0      
-7.12741 		-1.08164 		-1.76028 		-2.1883  		-1.79041 		-2.4841  		-2.9276  		-1.98314 		-2.47901 		-2.97246 		0.0      
-8.06022 		-0.658739		-1.27799 		-1.76979 		-1.55977 		-2.25346 		-2.75295 		-1.76307 		-2.11781 		-2.61126 		0.0      
-3.87912 		-0.832104		-1.08605 		-1.27022 		-0.90758 		-1.14314 		-1.29608 		-0.950295		-1.36616 		-1.46683 		0.0      
-6.66271 		-0.649665		-1.13373 		-1.48978 		-1.3122  		-2.00589 		-2.44939 		-1.92099 		-1.92028 		-2.41373 		0.0      
-4.69833 		-0.681619		-1.02763 		-1.28378 		-1.12074 		-1.3563  		-1.64189 		-1.01283 		-1.66083 		-1.7615  		0.0      
-7.13642 		-0.678858		-1.11785 		-1.53767 		-1.50888 		-2.20257 		-2.64606 		-1.94239 		-1.99312 		-2.48657 		0.0      
-5.94887 		-0.551623		-0.934886		-1.23823 		-1.21321 		-1.63261 		-2.19035 		-1.29588 		-1.7808  		-2.19376 		0.0      
-1.97038 		-0.654027		-0.806506		-0.886553		-0.610637		-0.87895 		-1.23789 		-0.627894		-0.944197		-1.01444 		0.0      
-3.54784 		-0.455251		-0.533654		-0.613701		-0.658531		-0.926844		-1.41843 		-0.760817		-1.01937 		-1.08961 		0.0      
-3.54007 		-0.455251		-0.533654		-0.613701		-0.658531		-0.926844		-1.41843 		-0.760817		-1.01937 		-1.08961 		0.0      
-5.82834 		-0.227831		-0.563867		-0.86721 		-1.02186 		-1.44126 		-1.999   		-1.11166 		-1.42166 		-1.83462 		0.0      
-5.55182 		-0.439523		-0.789874		-1.09322 		-1.20878 		-1.62818 		-2.12993 		-1.29098 		-1.61529 		-2.02825 		0.0      
