origin_200 mse:53.688252795375 ,acc=1.0
OOitr_30_100_3 : mse=1.7848107796685226 ,acc=0.9559748427672956
	30 is chosen from 100 trees
OOitr_40_100_3 : mse=3.051806412742522 ,acc=0.9937106918238994
	40 is chosen from 100 trees
OOitr_50_100_3 : mse=4.946494683192134 ,acc=0.9937106918238994
	50 is chosen from 100 trees
OOitr_30_60_15 : mse=4.159598020427554 ,acc=0.9748427672955975
	30 is chosen from 60 trees
OOitr_40_60_15 : mse=6.376775486387102 ,acc=0.9937106918238994
	40 is chosen from 60 trees
OOitr_50_60_15 : mse=9.448925866471358 ,acc=0.9811320754716981
	50 is chosen from 60 trees
OOitr_30_80_20 : mse=4.049600650011246 ,acc=0.9874213836477987
	30 is chosen from 80 trees
OOitr_40_80_20 : mse=5.695970649393302 ,acc=1.0
	40 is chosen from 80 trees
OOitr_50_80_20 : mse=7.8845172924262075 ,acc=1.0
	50 is chosen from 80 trees

origin   		oo_15    		oo_20    		oo_25    		oo_15    		oo_20    		oo_25    		oo_15    		oo_20    		oo_25    		label
-4.04183 		-0.178036		-0.274466		-0.563105		-1.05118 		-1.36495 		-1.94002 		-0.97991 		-0.973892		-1.12196 		0.0      
-5.07717 		-0.591561		-0.735072		-1.267   		-1.08721 		-1.57668 		-1.8118  		-0.942193		-1.22034 		-1.67034 		0.0      
-4.2472  		-0.255   		-0.350057		-0.733033		-1.34882 		-1.67328 		-2.31769 		-1.15975 		-1.23069 		-1.37876 		0.0      
-2.65675 		-0.350927		-0.525493		-0.599374		-0.674625		-0.751075		-0.891691		-0.692436		-0.976975		-1.10256 		0.0      
-0.980752		0.302056 		0.105898 		0.0682029		0.207958 		0.294442 		0.320015 		0.0905215		-0.27917 		-0.196878		0.0      
-4.62149 		-0.509081		-0.786222		-0.988043		-0.736001		-1.16806 		-1.39285 		-0.766822		-1.16347 		-1.38054 		0.0      
-4.13287 		-0.235942		-0.52654 		-0.938139		-0.936458		-1.10088 		-1.64161 		-0.925356		-1.21017 		-1.43874 		0.0      
-5.64338 		-0.562914		-0.815904		-1.23699 		-1.38152 		-1.52516 		-2.10994 		-1.23417 		-1.64503 		-1.90293 		0.0      
-6.35156 		-0.704867		-1.02871 		-1.4498  		-1.38152 		-1.61926 		-2.20403 		-1.31755 		-1.72841 		-2.16295 		0.0      
-4.09665 		-0.235942		-0.52654 		-0.938139		-0.936458		-1.10088 		-1.64161 		-0.925356		-1.21017 		-1.43874 		0.0      
