origin_200 mse:52.21888237177404 ,acc=1.0
OOitr_30_100_3 : mse=1.4753023877451485 ,acc=0.96875
	30 is chosen from 100 trees
OOitr_40_100_3 : mse=2.8044218930639566 ,acc=0.99375
	40 is chosen from 100 trees
OOitr_50_100_3 : mse=4.296696499882645 ,acc=1.0
	50 is chosen from 100 trees
OOitr_30_60_15 : mse=3.6324527438570384 ,acc=0.9875
	30 is chosen from 60 trees
OOitr_40_60_15 : mse=5.744262279153316 ,acc=0.9875
	40 is chosen from 60 trees
OOitr_50_60_15 : mse=8.805043980079294 ,acc=0.98125
	50 is chosen from 60 trees
OOitr_30_80_20 : mse=3.663451180777673 ,acc=0.9875
	30 is chosen from 80 trees
OOitr_40_80_20 : mse=4.999050700397358 ,acc=0.9875
	40 is chosen from 80 trees
OOitr_50_80_20 : mse=7.113007150082605 ,acc=0.9875
	50 is chosen from 80 trees

origin   		oo_15    		oo_20    		oo_25    		oo_15    		oo_20    		oo_25    		oo_15    		oo_20    		oo_25    		label
-5.23414 		-0.436121		-0.920926		-1.4251  		-1.27474 		-1.62299 		-2.2252  		-1.11735 		-1.48797 		-1.98573 		0.0      
-4.92674 		-0.594079		-0.893839		-1.25311 		-1.22304 		-1.48202 		-1.70249 		-1.17761 		-1.39096 		-1.67944 		0.0      
-4.50874 		-0.406112		-0.705872		-0.997827		-1.21328 		-1.31654 		-1.53701 		-1.11023 		-1.38521 		-1.60637 		0.0      
-2.52373 		-0.544356		-0.798985		-0.984743		-0.630474		-1.06242 		-1.26568 		-0.65605 		-1.03563 		-1.33812 		0.0      
-5.6422  		-0.470216		-0.956883		-1.36886 		-1.43064 		-1.66681 		-2.15321 		-1.23928 		-1.73057 		-2.06377 		0.0      
-5.17762 		-0.874921		-1.10621 		-1.2862  		-0.799661		-1.2025  		-1.35578 		-0.991509		-1.3795  		-1.65289 		0.0      
-3.88337 		-0.372579		-0.636771		-1.06275 		-0.958576		-1.30224 		-1.29141 		-0.873226		-1.06432 		-1.48996 		0.0      
-3.42337 		0.000438832		-0.230851		-0.255734		-0.445011		-0.523458		-0.776852		-0.419681		-0.692029		-0.693504		0.0      
-5.20693 		-0.373927		-0.860594		-1.27257 		-1.33362 		-1.56978 		-2.05619 		-1.17428 		-1.59227 		-1.92546 		0.0      
-4.51459 		-0.611795		-0.843085		-1.02307 		-0.719011		-1.12185 		-1.27513 		-0.860368		-1.22054 		-1.49393 		0.0      
-5.20693 		-0.373927		-0.860594		-1.27257 		-1.33362 		-1.56978 		-2.05619 		-1.17428 		-1.59227 		-1.92546 		0.0      
-2.59857 		-0.105787		-0.352186		-0.372986		-0.747645		-1.00852 		-1.35542 		-0.757802		-0.940341		-1.06024 		0.0      
-5.0296  		-0.262461		-0.662146		-1.02476 		-1.09875 		-1.55    		-2.02916 		-1.20146 		-1.19065 		-1.60376 		0.0      
-2.323   		-0.340953		-0.529347		-0.60407 		-0.598216		-0.917905		-0.805893		-0.779813		-0.841552		-1.02027 		0.0      
-3.21487 		-0.604079		-0.792473		-0.867196		-0.678866		-0.998555		-0.886543		-0.910953		-1.00051 		-1.17922 		0.0      
-4.1163  		0.243358 		-0.247307		-0.613394		-1.05141 		-1.40714 		-1.75138 		-0.903241		-1.05401 		-1.47022 		0.0      
-4.9725  		-0.312418		-0.646581		-0.92093 		-1.34432 		-1.60238 		-2.07255 		-1.376   		-1.42604 		-1.80457 		0.0      
