origin_200 mse:57.675801413185226 ,acc=1.0
OOitr_30_100_3 : mse=1.9016386276398425 ,acc=0.96875
	30 is chosen from 100 trees
OOitr_40_100_3 : mse=3.390464441563547 ,acc=0.9875
	40 is chosen from 100 trees
OOitr_50_100_3 : mse=5.253071139399185 ,acc=0.9875
	50 is chosen from 100 trees
OOitr_30_60_15 : mse=3.9469769469097407 ,acc=0.975
	30 is chosen from 60 trees
OOitr_40_60_15 : mse=6.231679992253488 ,acc=0.9875
	40 is chosen from 60 trees
OOitr_50_60_15 : mse=9.518283975683897 ,acc=0.9875
	50 is chosen from 60 trees
OOitr_30_80_20 : mse=4.132623219281001 ,acc=0.99375
	30 is chosen from 80 trees
OOitr_40_80_20 : mse=5.901860910460575 ,acc=1.0
	40 is chosen from 80 trees
OOitr_50_80_20 : mse=8.23198519178727 ,acc=1.0
	50 is chosen from 80 trees

origin   		oo_15    		oo_20    		oo_25    		oo_15    		oo_20    		oo_25    		oo_15    		oo_20    		oo_25    		label
-2.90971 		-0.581918		-0.825538		-1.14341 		-0.264165		-0.602664		-0.889036		-0.336739		-0.65016 		-0.956626		0.0      
-6.15847 		-0.583621		-0.991018		-1.28972 		-1.45525 		-1.75103 		-2.09795 		-1.35569 		-1.77541 		-2.03769 		0.0      
-0.934854		-0.163569		-0.294906		-0.294547		0.180416 		0.0432725		-0.140218		-0.124357		-0.317861		-0.249837		0.0      
-5.74186 		-0.502531		-0.944589		-1.1379  		-1.54407 		-1.83622 		-2.24802 		-1.40081 		-1.705   		-1.9527  		0.0      
-5.80235 		-0.466307		-0.837743		-1.05487 		-1.35117 		-1.60778 		-1.9547  		-1.35569 		-1.58272 		-1.72425 		0.0      
-2.2206  		-0.357619		-0.567594		-0.885467		-0.245556		-0.584056		-0.870428		-0.239234		-0.479644		-0.78611 		0.0      
-5.05434 		-0.418087		-0.783341		-1.18279 		-0.581261		-1.07826 		-1.42524 		-0.66376 		-1.09686 		-1.64339 		0.0      
-6.14576 		-0.583621		-0.991018		-1.28972 		-1.45525 		-1.75103 		-2.09795 		-1.35569 		-1.77541 		-2.03769 		0.0      
-3.02386 		-0.762318		-0.929653		-1.19622 		-0.70322 		-1.00425 		-1.14137 		-0.851722		-1.03112 		-1.27944 		0.0      
-7.06084 		-0.556372		-1.08824 		-1.48642 		-1.60316 		-1.9821  		-2.33378 		-1.649   		-1.99133 		-2.36278 		0.0      
-3.18742 		-0.141335		-0.415876		-0.574023		-0.656583		-0.903802		-1.23625 		-0.993624		-1.09706 		-1.24765 		0.0      
-3.36839 		-0.141335		-0.415876		-0.5677  		-0.656583		-0.980524		-1.31017 		-0.993624		-1.09706 		-1.24765 		0.0      
-7.50324 		-0.813346		-1.22493 		-1.5546  		-1.69675 		-2.13384 		-2.61427 		-1.89619 		-2.15831 		-2.43944 		0.0      
-7.37505 		-0.694538		-1.06296 		-1.39263 		-1.66368 		-2.10078 		-2.50524 		-1.8216  		-1.98955 		-2.27069 		0.0      
-3.49662 		-0.924331		-1.28241 		-1.4672  		-1.56052 		-1.66221 		-1.72663 		-1.62086 		-2.00976 		-2.25723 		0.0      
-5.87273 		-0.784674		-1.11977 		-1.40572 		-1.5072  		-1.93407 		-2.2191  		-1.58906 		-1.93779 		-2.23778 		0.0      
-2.19659 		0.0176056		-0.114043		-0.304339		-0.364289		-0.469129		-0.746897		-0.890504		-0.904429		-0.864597		0.0      
-5.12026 		-0.104369		-0.548098		-0.83469 		-1.25558 		-1.77996 		-2.09017 		-0.926162		-1.23774 		-1.66144 		0.0      
-4.69107 		-0.840519		-1.19319 		-1.55012 		-1.09352 		-1.58127 		-1.71829 		-1.20001 		-1.6547  		-1.94327 		0.0      
-2.04335 		-0.282963		-0.456752		-0.468701		-1.134   		-1.28353 		-1.2833  		-0.65346 		-0.90553 		-1.12225 		0.0      
-2.11989 		-0.402105		-0.692002		-0.824238		-1.0314  		-1.53561 		-1.88648 		-0.869545		-1.07925 		-1.38985 		0.0      
